Chinese,Japanese,Group,Speed(+-10)
早上好,おはようございます,日常用語,-6
袮好,こんにちわ,日常用語,-6
再見,さようなら,日常用語,-6
卍上好,こんばんは,日常用語,-6
卍安,おやすみまさい,日常用語,-6
對不起;請問,すみません,日常用語,-6
謝謝,ありがとうございます,日常用語,-6
初次見面,はじめまして,日常用語,-6
我吃了,いただきます,日常用語,-6
吃好了,ごちそうさまでした,日常用語,-6
不知道,わかりません,日常用語,-6
多大(年紀),おいくつ,日常用語,-6
多少錢,いくら,日常用語,-6
夠累的,おつかれさまでした,日常用語,-6
我先走了,おさきにしつれいします,日常用語,-6
步行,あるいて,日常用語,-6
真不容易、夠受的、不得了,たいへんですね,日常用語,-6
歡迎光臨,いらっしゃいませ,日常用語,-6
告辭了,しつれいします,日常用語,-6
打攪了、失禮了,しつれいしました,日常用語,-6
你走好,いってらっしゃい,日常用語,-6
我回來了,ただいま,日常用語,-6
你回來了,おかえりなさい,日常用語,-6
我知道了,かしこまりました,日常用語,-6
打擾了,おじゃまします,日常用語,-6
給我,ください,日常用語,-6
「午前中」;上午,ごぜんちゅう,日常用語,-6
「東京」,とうきょう,地名,-6
「北京」,ペキン,地名,-6
「長島」,ながしま,地名,-6
汕頭,スワトウ,地名,-6
倫敦,ロンドン,地名,-6
「上海」,シャンハイ,地名,-6
「横浜」,よこはま,地名,-6
「名古屋」,なごや,地名,-6
「大阪」,おおさか,地名,-6
「神戸」,こうべ,地名,-6
「広島」,ひろしま,地名,-6
「京都」,きょうと,地名,-6
「北海道」,ほっかいどう,地名,-6
「箱根」,はこね,地名,-6
「渋谷」,しぶや,地名,-6
「新宿」,しんじゅく,地名,-6
「中国」,ちゅごく,國家名,-6
「日本」,にほん,國家名,-6
「韓国」,かんこく,國家名,-6
美國,アメリカ,國家名,-6
英國,イギリス,國家名,-6
意大利,イタリア,國家名,-6
印度,インド,國家名,-6
澳大利亞,オーストラリア,國家名,-6
西班牙,スペイン,國家名,-6
泰國,タイ,國家名,-6
德國,ドイツ,國家名,-6
法國,フランス,國家名,-6
越南,ベトナム,國家名,-6
墨西哥,メキシコ,國家名,-6
俄羅斯,ロシア,國家名,-6
巴西,ブラジル,國家名,-6
葡萄牙,ポルトガル,國家名,-6
「外国」,がいこく,國家名,-6
「大陸」,たいりく,大陸,-6
亞洲,アジア,大陸,-6
歐洲,ヨーロッパ,大陸,-6
澳洲,オーストラリア,大陸,-6
非洲,アフリカ,大陸,-6
北美洲,きたアメリカ,大陸,-6
南美洲,みなみアメリカ,大陸,-6
自己-「祖父」;外祖父,そふ,親屬稱謂,-6
自己-「祖母」;外祖母,そぼ,親屬稱謂,-6
自己-「両親」;父母,りょうしん,親屬稱謂,-6
自己-「父」,ちち,親屬稱謂,-6
自己-「母」,はは,親屬稱謂,-6
自己-「息子」;兒子,むすこ,親屬稱謂,-6
自己-「娘」;女兒,むすめ,親屬稱謂,-6
自己-「兄弟」姐妹,きょうだい,親屬稱謂,-6
自己-「兄」;哥哥,あに,親屬稱謂,-6
自己-「姉」;姐姐,あね,親屬稱謂,-6
自己-「弟」弟,おとうと,親屬稱謂,-6
自己-「妹」妹,いもうと,親屬稱謂,-6
自己-伯父;叔叔等,おじ,親屬稱謂,-6
自己-伯母;姑姑等,おば,親屬稱謂,-6
別人-祖父;外祖父,おじいさん,親屬稱謂,-6
別人-祖母;外祖母,おばあさん,親屬稱謂,-6
別人-父母,ごりょうしん,親屬稱謂,-6
別人-父親,おとうさん,親屬稱謂,-6
別人-母親,おかあさん,親屬稱謂,-6
別人-兒子,むすこさん,親屬稱謂,-6
別人-女兒,むすめさん;おじょうさん,親屬稱謂,-6
別人-兄弟姐妹,ごきょうだい,親屬稱謂,-6
